x1	x2	rgb
0.48934483039684135	-1.2503574576676513	(0.9770323991895472, 0.5350261226841236, 1.0)
0.4925488866144965	-1.2330826216370974	(0.9877607157996479, 0.5319583076938827, 1.0)
0.47969090919244056	-1.1537745782634452	(1.0, 0.5310618366266476, 1.0)
0.5001205864117155	-1.180439803898839	(1.0, 0.5236198057369081, 1.0)
0.4912428102231742	-1.1811808899124887	(1.0, 0.5279578850444472, 1.0)
0.48964640673095894	-1.1813035418346116	(1.0, 0.5287308787191235, 1.0)
0.5071063809946894	-1.2386144968963235	(0.9953838992497773, 0.5254943319537522, 1.0)
0.48254732102119996	-1.2153835695859536	(0.9891886452632178, 0.5350916269246639, 1.0)
0.4974377421762509	-1.282854868084035	(0.9665439217135395, 0.5341783685118561, 1.0)
0.5032167653946046	-1.2584848151082402	(0.9829597708986607, 0.5291893902971094, 1.0)
0.514257407558449	-1.1870751369828312	(1.0, 0.5172971543137856, 1.0)
0.5054270344594959	-1.1577464003251265	(1.0, 0.5190143897181412, 1.0)
0.503245668314398	-1.1836296455856443	(1.0, 0.5223871943820413, 1.0)
0.49133268190597323	-1.1785253491016399	(1.0, 0.5276810066109157, 1.0)
0.493964103877716	-1.2447309584917514	(0.9831056181249859, 0.5323392758043693, 1.0)
0.5053239847325665	-1.2343225853381457	(0.9961831546776329, 0.5259625739721556, 1.0)
0.49444896566625307	-1.1911458836848625	(1.0, 0.5273046387147181, 1.0)
0.4913710832807654	-1.1911616518466388	(1.0, 0.5287778699481284, 1.0)
0.493568314099308	-1.1512220822065218	(1.0, 0.5242122734368843, 1.0)
0.4907689538544145	-1.220960752835066	(0.99231853499588, 0.5317142243271468, 1.0)
0.523851619294331	-1.135169849323172	(1.0, 0.5077974448909867, 1.0)
0.5287553438066718	-1.1317398835174772	(1.0, 0.5049868251289623, 1.0)
0.5067470986728723	-1.1820436593982075	(1.0, 0.5205368405175714, 1.0)
0.4995827404643685	-1.2193700897008934	(0.9992547616061428, 0.5273684992987437, 1.0)
0.4929233544476769	-1.2020770447569493	(1.0, 0.5290057839401862, 1.0)
0.5011564873764348	-1.1719995889622503	(1.0, 0.5223665289476992, 1.0)
0.49495505038307286	-1.2540966783972993	(0.9792083553479715, 0.5327198062124194, 1.0)
0.5201980480888146	-1.2048661452860723	(1.0, 0.515977811187533, 1.0)
0.47977774715416666	-1.1926662183549614	(0.9979500415647747, 0.5343933686851488, 1.0)
0.48718477873640414	-1.2023586419760506	(0.9985880253032554, 0.5317569129664873, 1.0)
0.49266045304838274	-1.2250400514168	(0.9917034267317447, 0.53118277525974, 1.0)
0.48167618359066877	-1.2032587506379993	(0.9943198185655052, 0.534431266002637, 1.0)
0.49728503360868603	-1.1674833673036291	(1.0, 0.5238441289933076, 1.0)
0.4906630859441611	-1.221149975409281	(0.9921538572968892, 0.5317812806615483, 1.0)
0.4789231140939771	-1.2665908842216542	(0.9613269253878062, 0.5413368522125387, 1.0)
0.49605904687780744	-1.2274418332773747	(0.9929496119664211, 0.5297822635674517, 1.0)
0.4932779186569835	-1.2274481308928542	(0.9909862491358222, 0.5311059193731398, 1.0)
0.5090216079661901	-1.2026455257196151	(1.0, 0.5212834295099179, 1.0)
0.5339021197932213	-1.1495215413119415	(1.0, 0.5039650867942783, 1.0)
0.4883715962164437	-1.1919776878073265	(1.0, 0.5302777021728514, 1.0)
0.4952493543733162	-1.2407456442444773	(0.985964096323451, 0.5313692008662313, 1.0)
0.5092426755619959	-1.2725846168738588	(0.9802892548937053, 0.5276009242929264, 1.0)
0.49756595462562775	-1.199254213218941	(1.0, 0.5265307347256664, 1.0)
0.4715124585370805	-1.2310903507176356	(0.9737430560991421, 0.5415966771776768, 1.0)
0.5151623952097023	-1.1778510690408515	(1.0, 0.5160128879623549, 1.0)
0.48803313522282504	-1.1715739081267578	(1.0, 0.5286465813420385, 1.0)
0.459209409795541	-1.204018036492933	(0.9781323938784864, 0.5448678478851667, 1.0)
0.4672816870137788	-1.230221174045916	(0.9711355523337936, 0.5434595817115028, 1.0)
0.5181159839513941	-1.1775205915957805	(1.0, 0.5145141353111679, 1.0)
0.5066838662987168	-1.174296810495873	(1.0, 0.5198734629525372, 1.0)
0.48781354132731986	-1.2278301986636293	(0.986940887581169, 0.5337239051417465, 1.0)
0.5133599061243781	-1.175150701011893	(1.0, 0.516662072404065, 1.0)
0.5097096276162425	-1.2079093665703855	(1.0, 0.5214252218510497, 1.0)
0.49360687469835784	-1.1800561835432868	(1.0, 0.5267264607262765, 1.0)
0.5041191138594496	-1.2416865801769719	(0.9917970920801357, 0.5272162049175045, 1.0)
0.48510101845885023	-1.2161751915404762	(0.9906096740235356, 0.5339630525236275, 1.0)
0.5019711227657186	-1.1552191058608585	(1.0, 0.5204828481790892, 1.0)
0.4956919475892473	-1.2147534364727972	(0.9987104719262266, 0.5288164915743798, 1.0)
0.48883435164629946	-1.2087047420323562	(0.9967638423130877, 0.531538498152894, 1.0)
0.49525411670897007	-1.1995547143852165	(1.0, 0.5276669072090511, 1.0)
0.5098775991366802	-1.1911379045798405	(1.0, 0.5198222712823228, 1.0)
0.5237802438746912	-1.2075398411327267	(1.0, 0.5144395583116792, 1.0)
0.49992025839521037	-1.2531906507162613	(0.9832091935478772, 0.5302787857095002, 1.0)
